,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,distance_to_nearest_stn
40726,Manhattan,Hell's Kitchen,40.761109999999995,-73.9918,Entire home/apt,279,5,22,1,0,0.4567992258193501
40727,Manhattan,East Village,40.73107,-73.98505,Private room,150,3,2,2,179,0.21732205944562197
40728,Manhattan,Chelsea,40.74009,-73.99978,Entire home/apt,350,3,22,1,89,0.18433133102265462
40730,Manhattan,Midtown,40.75311,-73.97312,Entire home/apt,350,2,1,2,8,0.3092144235851792
40740,Manhattan,Harlem,40.80588,-73.95423000000001,Private room,50,1,0,2,37,0.10402451103011591
40741,Manhattan,Lower East Side,40.72045,-73.99029,Entire home/apt,126,30,0,1,220,0.27478469494448865
40742,Manhattan,Kips Bay,40.74555,-73.97867,Entire home/apt,170,5,0,1,89,0.2936440447658578
40748,Manhattan,Inwood,40.867709999999995,-73.91717,Private room,125,1,0,1,179,0.2335486212392012
40749,Manhattan,Financial District,40.70772,-74.00474,Entire home/apt,136,30,1,95,130,0.24374562909826525
40753,Manhattan,Upper East Side,40.7707,-73.95746,Entire home/apt,115,30,1,20,320,0.22625057460908526
40754,Manhattan,Kips Bay,40.73843,-73.97317,Entire home/apt,300,30,0,2,0,1.069369146006856
40757,Manhattan,East Village,40.72518,-73.9845,Entire home/apt,330,2,11,1,232,0.5000586787318304
40758,Manhattan,Chinatown,40.71411,-73.99566,Private room,68,2,12,1,0,0.46571042393098344
40759,Manhattan,Washington Heights,40.834579999999995,-73.93856,Private room,49,1,1,1,180,0.19479712602250177
40763,Manhattan,Hell's Kitchen,40.76589,-73.99336,Private room,40,20,2,2,90,0.7302653156902992
40765,Manhattan,Washington Heights,40.85532,-73.93123,Private room,50,30,3,1,270,0.15365445751063683
40769,Manhattan,Nolita,40.72095,-73.99582,Entire home/apt,142,6,9,1,108,0.1773172488168586
40778,Manhattan,Upper East Side,40.7725,-73.95469,Entire home/apt,180,2,5,1,359,0.45497935447420323
40784,Manhattan,Washington Heights,40.83325,-73.94027,Entire home/apt,207,2,5,1,1,0.3084850953722647
40787,Manhattan,Financial District,40.70783,-74.0151,Private room,90,14,4,1,0,0.11672870437599105
40790,Manhattan,Harlem,40.827,-73.94615,Private room,45,2,12,1,0,0.2953476357662461
40792,Manhattan,Upper East Side,40.77932,-73.94868000000001,Entire home/apt,117,3,6,1,8,0.30655128499058787
40795,Manhattan,Hell's Kitchen,40.754529999999995,-73.99703000000001,Entire home/apt,250,30,1,4,179,0.39557493945474215
40796,Manhattan,Midtown,40.75488,-73.97308000000001,Private room,130,2,5,1,0,0.26599977686092235
40798,Manhattan,Stuyvesant Town,40.73245,-73.97888,Entire home/apt,350,1,19,1,245,0.2855240633121164
40800,Manhattan,Hell's Kitchen,40.754,-73.99661,Entire home/apt,220,30,1,4,179,0.33178738831341215
40802,Manhattan,Upper East Side,40.76755,-73.95606,Entire home/apt,200,1,15,1,1,0.24305224342623974
